C:\Data\Common\lion.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
14728;0.00173481394367907;43.6171760559082;0.740555102283508;0.678103;0.581929;0.0006295047642900232;0.042711641639471054;0;0;5.7E-06;
15681;0.00162495326336552;41.0676536560059;0.7164243901708658;0.658134;0.564985;0.000561555649046371;0.042711641639471054;0;1027;7.4878834;
16633;0.0014192451223601;35.9809875488281;0.6422255248668818;0.629315;0.528427;0.0004821886904359573;0.04210265353322029;0;2178;6.437384;
17577;0.00120350491607475;30.4468326568604;0.5426726052954316;0.583156;0.492091;0.0004141960433904327;0.03995712846517563;0;3285;5.4358541;
18529;0.00105059927915365;26.6234550476074;0.5027279941478775;0.541538;0.461536;0.00036093022515971057;0.03995712846517563;0;4297;4.7081352;
19481;0.000925306610643233;23.4336414337158;0.4540250716307981;0.510705;0.438219;0.0003153679895560231;0.03995712846517563;0;5321;4.608613;
20425;0.000828845474607823;20.9750423431396;0.39459551515087177;0.475573;0.413644;0.0002810767669467506;0.03995712846517563;0;6280;4.2110256;
21377;0.000751937233453516;19.0558242797852;0.36855457041370254;0.456684;0.394127;0.0002473137222804915;0.03631136938929558;0;7252;3.8981908;
22329;0.000669288929484138;16.962797164917;0.3306466992849775;0.437306;0.37283;0.00021866603135555832;0.035317301750183105;0;8216;4.1042376;
23273;0.000592489133379292;15.0208225250244;0.2728957369792595;0.408051;0.348294;0.0001972476169833983;0.03477010875940323;0;9135;3.4365972;
24225;0.00054163900801076;13.7640256881714;0.2688847609971181;0.38487;0.334615;0.0001777492505652562;0.033562757074832916;0;10062;3.6105815;
25177;0.000477977254145554;12.1277704238892;0.23821998979748105;0.363872;0.312408;0.00015515894200928432;0.033562757074832916;0;11028;3.7466647;
26121;0.000423202828190139;10.7388248443604;0.1992642077348188;0.321749;0.284876;0.000138446591289376;0.033562757074832916;0;11953;3.4593923;
27073;0.000380982932681148;9.64823341369629;0.1622184300996128;0.295533;0.261874;0.00012256117812620468;0.033562757074832916;0;12889;3.4879061;
28025;0.00034893267963612;8.83492088317871;0.13731544357246595;0.279766;0.249151;0.00010961838612699119;0.03297998011112213;0;13817;3.3881928;
28969;0.000319804802056688;8.09090518951416;0.13708922320468764;0.257559;0.231897;9.918468281531897E-05;0.03289344906806946;0;14725;3.5659224;
