C:\Data\Common\Simplified\bunny2_2000.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
5848;0.000713651597348718;43.687915802002;0.5482972644205493;0.694005;0.588086;0.00039195568218291013;0.03361428901553154;0;0;6.3E-06;
6369;0.000660951791221678;40.5485534667969;0.5021130136351912;0.655576;0.566994;0.00033450933638173164;0.03361428901553154;0;579;1.0983908;
6889;0.000601161546042181;36.9463844299316;0.4700692185172892;0.62605;0.539787;0.0002856850362477671;0.03361428901553154;0;1178;1.0747257;
7409;0.000535330450525337;32.9609794616699;0.4359598264556013;0.580687;0.512212;0.00024469500389629015;0.0320153571665287;0;1831;1.1671671;
7937;0.000454715884868083;28.2745151519775;0.3789231794187877;0.524381;0.466101;0.00019659936966362043;0.0320153571665287;0;2459;1.12574;
8457;0.00039680739324586;24.7067737579346;0.33970686216328616;0.496993;0.434734;0.00015734955688841552;0.0320153571665287;0;3055;1.1071976;
8977;0.00034671099950598;21.6612548828125;0.29286616511296826;0.462425;0.408579;0.00013083623241890748;0.0320153571665287;0;3669;1.5895353;
9497;0.000309503095373516;19.3567523956299;0.2513225777325099;0.440158;0.387208;0.00010984585952349493;0.0320153571665287;0;4217;1.3815681;
10017;0.00027650844414066;17.2691192626953;0.22150050217520967;0.40976;0.362816;9.399287328486973E-05;0.0313117541372776;0;4755;1.4556243;
10537;0.00025668110741452;16.0232105255127;0.20171496664691313;0.387694;0.346087;7.843340059062184E-05;0.027944862842559814;0;5283;1.4264934;
11057;0.000234322374760586;14.6650638580322;0.18166102944124818;0.371264;0.330438;6.99186834920655E-05;0.027944862842559814;0;5805;1.4193806;
11577;0.000211913350922083;13.2517204284668;0.13990675616782466;0.35168;0.309835;5.977927010897089E-05;0.026040801778435707;0;6336;1.4627855;
12097;0.000184896283332912;11.5457925796509;0.1301481781733802;0.334103;0.293314;5.207356891219348E-05;0.024858707562088966;0;6847;1.4720866;
12617;0.000161733812722915;10.1058616638184;0.08200405550304435;0.321104;0.280044;4.561445787920903E-05;0.024858707562088966;0;7363;1.3094702;
13137;0.000146668939437834;9.17215633392334;0.06984501965930745;0.303876;0.262078;3.8021316960829254E-05;0.024146493524312973;0;7862;1.4673967;
13657;0.000132975513044979;8.29845142364502;0.08177055738990546;0.278593;0.247768;3.310668998099425E-05;0.024146493524312973;0;8366;1.407355;
