E:\Workspaces\NormalUncertainty2026\.Revision\Data\armadillo_10k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
29953;3.96771847274604E-05;2.97626352310181;0.13551703433975693;0.616859;0.625218;1.5935618419902495E-05;0.006655216217041016;0;0;4.7200917;
32169;3.69422066102377E-05;2.77209210395813;0.12656781652453697;0.577523;0.598793;1.3461892973106036E-05;0.006655216217041016;0;3509;14.6807738;
34377;3.43381185608421E-05;2.5756254196167;0.11893370324868568;0.540352;0.561716;1.1051582281446619E-05;0.006655216217041016;0;7475;25.9203508;
36585;3.26424815383985E-05;2.44933438301086;0.1135554471733875;0.494968;0.529681;9.400145582481435E-06;0.006655216217041016;0;11242;36.297619;
38801;3.17704479169982E-05;2.38235878944397;0.1099521057818027;0.479567;0.508247;8.156089193428045E-06;0.006655216217041016;0;14967;46.2236385;
41009;3.01531799752457E-05;2.25562977790833;0.10196552422991223;0.445136;0.470103;7.488967704624955E-06;0.006655216217041016;0;18116;54.2480752;
43217;2.86392618077246E-05;2.14422416687012;0.09595762249209683;0.409514;0.431166;6.982886939646405E-06;0.006655216217041016;0;20914;61.3547062;
45433;2.71503776019335E-05;2.03313803672791;0.08510115668915086;0.378689;0.384963;6.54695340479401E-06;0.006655216217041016;0;23586;67.5162965;
47641;2.5532651691883E-05;1.91102600097656;0.07171261850775501;0.34689;0.344808;6.076428536892032E-06;0.006655216217041016;0;26068;73.7278916;
49849;2.28338901172111E-05;1.70873630046844;0.046568538936027526;0.313379;0.31043;5.515335073699414E-06;0.006655216217041016;0;28464;79.3403834;
52065;2.11167534138039E-05;1.5791335105896;0.04340532204377556;0.291067;0.279814;5.027263891573128E-06;0.006405957508832216;0;30799;84.7994263;
54273;1.95836778745405E-05;1.46740591526031;0.03823985710578359;0.274701;0.253007;4.56457491408528E-06;0.006405957508832216;0;33058;89.9503899;
56481;1.80217688707026E-05;1.34750866889954;0.03190319074279113;0.242734;0.22309;4.152533008202419E-06;0.005990055855363607;0;35304;95.3456872;
58697;1.60732208861399E-05;1.20225942134857;0.028168013078961884;0.225873;0.202509;3.7354734283703785E-06;0.005990055855363607;0;37548;100.8626591;
60905;1.45695019838395E-05;1.08925557136536;0.0229048414490145;0.209024;0.183335;3.3630495236715675E-06;0.005985339172184467;0;39756;106.4324347;
63113;1.29755382428345E-05;0.969442248344421;0.011270395963697055;0.197855;0.164775;3.0102201087319547E-06;0.005985339172184467;0;41934;111.8182307;
