E:\Workspaces\NormalUncertainty2026\.Revision\Data\maxplanck.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
159993;4.04617316381698E-05;3.52379989624023;0.8936392823757143;0.684702;0.705464;6.26139666355326E-06;0.004225313663482666;0;0;22.5176621;
172649;3.71204488252513E-05;3.24553394317627;0.8395711703407099;0.662253;0.67838;5.434266239322187E-06;0.004158598370850086;0;14896;58.6022753;
184401;3.15450682173779E-05;2.76376080513;0.741682265128273;0.626468;0.636504;4.644202183104023E-06;0.0041583203710615635;0;28592;90.2333253;
195745;2.69790179270264E-05;2.36847996711731;0.6582679166420357;0.589374;0.594821;4.011465985312249E-06;0.004154420457780361;0;41146;118.7974054;
206897;2.34574723612453E-05;2.06083869934082;0.5895911756811834;0.556055;0.556373;3.503775327037966E-06;0.004154420457780361;0;52953;146.2918509;
217713;2.04923261252506E-05;1.80205345153809;0.5308342540728228;0.524903;0.522505;3.0985722843147283E-06;0.004154420457780361;0;64227;173.554643;
228561;1.81400527662496E-05;1.59627151489258;0.4660315967078368;0.496123;0.490599;2.750501813977972E-06;0.004050213843584061;0;75294;200.3038333;
239273;1.61049385904486E-05;1.41685688495636;0.4228844182073733;0.463952;0.457432;2.4587732369092555E-06;0.004050213843584061;0;86159;226.6416557;
250017;1.42016475753807E-05;1.24848866462708;0.38186238072191747;0.433682;0.425389;2.191489577661467E-06;0.0036356609780341387;0;96952;252.1358771;
260625;1.27756869245374E-05;1.12362289428711;0.3445537298014587;0.405406;0.396632;1.968554314519612E-06;0.0034683418925851583;0;107537;277.5560087;
271289;1.14270453988952E-05;1.00581705570221;0.30971648927452866;0.381232;0.370221;1.761763312658464E-06;0.003458319930359721;0;118047;303.0210764;
281921;1.02830755842294E-05;0.904929459095001;0.2771087262204387;0.356923;0.345218;1.592505707319022E-06;0.0034436651039868593;0;128504;327.8172455;
292529;9.30140478171121E-06;0.81863534450531;0.24720821918334535;0.333166;0.32104;1.4355676140043126E-06;0.0034436651039868593;0;138861;352.3245453;
303033;8.33993004500832E-06;0.733486950397491;0.22022083118205926;0.308957;0.296295;1.3010022348324495E-06;0.003406994743272662;0;149158;376.4274421;
313569;7.50909909292372E-06;0.659961998462677;0.19866582429156476;0.283033;0.270443;1.1809694564438651E-06;0.003406994743272662;0;159405;400.8482434;
324121;6.80578715664708E-06;0.598056018352509;0.1780420197673367;0.263077;0.250191;1.0761898901427652E-06;0.003406994743272662;0;169667;426.0391393;
