E:\Workspaces\NormalUncertainty2026\.Revision\Data\xyzrgb_dragon_100k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
748200;0.000325773328598775;0.261389225721359;0.49423315385044586;0.307855;0.280954;9.989349108954719E-05;0.017177578061819077;16283372.19564562;0;0;
786104;0.000291650953169394;0.234784185886383;0.4427519045684416;0.28901;0.257591;8.106475535310559E-05;0.0154221560806036;14398854.315680949;0;0;
832128;0.000258887856767924;0.207862138748169;0.3825639188301382;0.269854;0.230157;6.399214830621438E-05;0.013662208802998066;12595883.627891388;0;0;
887440;0.000225539369690431;0.180974364280701;0.3279114612437326;0.252582;0.203684;4.902302602468479E-05;0.012049593031406403;10799811.046655;0;0;
953304;0.000193354944236283;0.155197665095329;0.26641821411593636;0.23418;0.174228;3.6071483277861496E-05;0.010255001485347748;9092847.60204942;0;0;
1028960;0.000160206868730453;0.128624796867371;0.20607504384157482;0.213907;0.14038;2.4916474481545064E-05;0.008503813296556473;7439710.091325468;0;0;
1120480;0.000127989218081257;0.103163093328476;0.15268182724848756;0.195889;0.112839;1.5987852272206047E-05;0.0068701510317623615;5861339.171589711;0;0;
1243456;9.62677097321072E-05;0.0772249028086662;0.09633627615896012;0.176131;0.0790167;9.003467679353904E-06;0.005168283358216286;4345946.979345766;0;0;
1427808;6.43073768319538E-05;0.0517868734896183;0.048415904313046765;0.15401;0.0493886;4.001454719354994E-06;0.0034375458490103483;2877497.8778915755;0;0;
1761600;3.20743187580631E-05;0.0257618352770805;0.014391390064411258;0.127117;0.0230326;1.0041928395135574E-06;0.001718712504953146;1433429.8265766294;0;0;
