E:\Workspaces\NormalUncertainty2026\.Revision\Data\xyzrgb_dragon_100k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
748201;0.000325773329022792;0.261389225721359;0.4942331372746469;0.307852;0.280952;9.989349110423702E-05;0.017177578061819077;0;0;83.7699705;
818769;0.000272165607094993;0.217945590615273;0.415398254013996;0.280954;0.242323;8.098098664258057E-05;0.01697859913110733;0;75960;247.8805493;
888233;0.000223554482536793;0.179135039448738;0.32093811237784453;0.258963;0.201975;6.396002812888566E-05;0.016897356137633324;0;148440;402.9228667;
957257;0.000184157274161694;0.147244542837143;0.24664144563706691;0.238363;0.165217;5.1156276521574E-05;0.016897356137633324;0;218376;553.3484232;
1025929;0.000151669526892028;0.121041357517242;0.18845636608983107;0.222428;0.134184;4.095998390404391E-05;0.01628272235393524;0;286950;703.4052322;
1094169;0.000126765834170586;0.101263619959354;0.14297381995954384;0.210723;0.109618;3.300676752839865E-05;0.014740529470145702;0;354400;848.7794945;
1162113;0.000106980268036294;0.0855363085865974;0.10999662476570848;0.201018;0.0902137;2.6867561943492714E-05;0.014187077060341835;0;421031;992.8856332;
1230073;9.04422316416116E-05;0.0723287612199783;0.0821281893554533;0.192253;0.0740012;2.1906521395911143E-05;0.014044980518519878;0;487205;1133.4321796;
1297977;7.7126055605563E-05;0.0616368614137173;0.06452388815152466;0.185754;0.060318;1.7833052304583635E-05;0.014054535888135433;0;553103;1274.3657005;
1365665;6.5820511076948E-05;0.0526839680969715;0.047153553778481516;0.178122;0.0505474;1.444474243830754E-05;0.014054535888135433;0;618626;1415.089474;
1432140;5.67191928124462E-05;0.0454351603984833;0.03553059216354604;0.17226;0.0428799;1.1636746848234571E-05;0.01399237010627985;0;683939;1559.9407402;
1497306;4.88403413206149E-05;0.0391458757221699;0.026734174557455415;0.166363;0.03636;9.403800658496145E-06;0.01399237010627985;0;749105;1705.7914355;
1562472;4.20381697032788E-05;0.0336919873952866;0.021740390227641626;0.161248;0.0310198;7.509518411353809E-06;0.013999655842781067;0;814271;1851.9518866;
1627517;3.58669153579335E-05;0.0287578664720058;0.01639157225717991;0.15453;0.0260267;5.928639397863409E-06;0.013999655842781067;0;879316;1995.5743991;
1694040;3.07186768017326E-05;0.0246622860431671;0.011482127805357178;0.149418;0.0218985;4.663110140695808E-06;0.013999655842781067;0;945839;2140.4569177;
1761600;2.64577865863524E-05;0.0212203878909349;0.007579955901518609;0.143797;0.0184063;3.6242086664498557E-06;0.013999655842781067;0;1013399;2290.7094563;
