E:\Workspaces\NormalUncertainty2026\.Revision\Data\neptune_100k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
708073;0.796664669349448;0.298687398433685;0.7026691394387226;0.393191;0.458053;0.14060469119288738;0.6400289535522461;0;0;102.0989421;
779089;0.633377216097302;0.237562015652657;0.5717698339076827;0.347945;0.395558;0.11269805650815794;0.6350633502006531;0;79359;309.5954985;
847793;0.507202591085989;0.190981790423393;0.4577745884496338;0.308708;0.333038;0.09039681388993621;0.6337623000144958;0;152084;497.2819158;
915369;0.413064129025564;0.155384749174118;0.36123779615548446;0.277138;0.275525;0.07372987864967251;0.6223926544189453;0;221492;691.1578682;
982729;0.339546087826185;0.128249883651733;0.2870898758190068;0.253114;0.22799;0.06083844372183867;0.6009886264801025;0;289252;888.8832532;
1049977;0.283075768538076;0.106765516102314;0.22611252862735354;0.234746;0.186823;0.05053338932812393;0.6009886264801025;0;355876;1081.7183215;
1116809;0.235582392202525;0.0886802077293396;0.1756561136732555;0.220436;0.151765;0.042293871848587725;0.5302419662475586;0;421621;1245.2592324;
1183281;0.200052701539311;0.0752626582980156;0.14102362722679973;0.2097;0.124779;0.03573520078805442;0.5292642712593079;0;486785;1402.9958194;
1249889;0.170609449181902;0.0642650797963142;0.11000607500152237;0.200537;0.102003;0.030149444042413213;0.5292642712593079;0;551608;1564.6590322;
1316505;0.145244749713512;0.0546585991978645;0.08632941045050102;0.192022;0.0819241;0.025358129848664195;0.5289133787155151;0;616191;1726.2687013;
1383081;0.123829959181011;0.0465914309024811;0.0681048164786886;0.184014;0.066439;0.02131219494756147;0.5274505019187927;0;680526;1879.1760919;
1449553;0.106749679936836;0.0401532836258411;0.053151224881393566;0.177205;0.055051;0.01791269184359919;0.5274505019187927;0;744624;2050.8710064;
1515889;0.0921643349659278;0.0346922352910042;0.041008619092250176;0.171567;0.0460477;0.015059074550002393;0.5274505019187927;0;808588;2215.851684;
1580477;0.0794289679275116;0.0299080442637205;0.030673493920948647;0.165088;0.0383316;0.012535419352346843;0.5274505019187927;0;872404;2414.5746604;
1644218;0.0685379704044027;0.0258035473525524;0.023602403605336608;0.160206;0.0323832;0.010397087891940429;0.5274505019187927;0;936145;2606.0532681;
1707941;0.0593429549266027;0.0223247148096561;0.01878182707185372;0.153682;0.0273992;0.008534046233834967;0.5164525508880615;0;999868;2739.4255548;
