E:\Workspaces\NormalUncertainty2026\.Revision\Data\bunny_2k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
5849;0.000713651597348718;43.687915802002;0.5482972644205493;0.694005;0.588086;0.00039195568218291013;0.03361428901553154;0;0;1.9188575;
6425;0.000638333702877785;39.1067314147949;0.505134802982254;0.637031;0.553827;0.0003376459959685881;0.03361428901553154;0;576;4.9998394;
7009;0.000506061099897335;31.2448539733887;0.43753419094117785;0.572459;0.489861;0.0002696036073533825;0.03361428901553154;0;1267;7.7605146;
7553;0.000420692630736156;26.0570774078369;0.3471703245549502;0.528158;0.458091;0.00021870051156747605;0.03361428901553154;0;1902;9.8986788;
8105;0.000361092601117367;22.4443492889404;0.2883678228822464;0.494075;0.416752;0.00018058597077408997;0.0320153571665287;0;2530;11.8253203;
8625;0.000318442665526423;19.8518447875977;0.2512089641680162;0.451265;0.392978;0.00015566991086445284;0.0320153571665287;0;3089;13.4757495;
9177;0.000275711218592648;17.1720714569092;0.21731765914509715;0.422871;0.365546;0.0001324135325536438;0.0320153571665287;0;3650;15.0078041;
9697;0.000257032178469358;16.0158042907715;0.1872737248175742;0.402083;0.352447;0.00011604395268358995;0.0313117541372776;0;4184;16.4948176;
10233;0.000223630056358162;13.8988962173462;0.13613642245596402;0.357684;0.322672;0.00010058338944956237;0.0313117541372776;0;4740;17.8245759;
10761;0.000196445911654763;12.2290191650391;0.08371002099212044;0.337723;0.304234;8.751826552583962E-05;0.0313117541372776;0;5268;19.0348782;
11289;0.000173595930520091;10.811315536499;0.09217344475608247;0.319187;0.2884;7.47554684674592E-05;0.027468670159578323;0;5803;20.5291888;
11817;0.00014279013063167;8.90800476074219;0.057566268493031814;0.280632;0.258724;6.479247523723738E-05;0.027468670159578323;0;6324;21.9624238;
12345;0.000133101464918832;8.31276512145996;0.005607282874717345;0.25528;0.234139;5.5455868966094356E-05;0.026349585503339767;0;6832;23.2542266;
12857;0.000115652483181713;7.2198543548584;0.06908074436945055;0.237368;0.218872;4.85943380513357E-05;0.026349585503339767;0;7346;24.5037821;
13361;0.000100893301573368;6.30513429641724;0.07392105853342157;0.2179;0.203913;4.1850238703613944E-05;0.02513064630329609;0;7849;27.1532178;
13897;9.29538683964987E-05;5.81884384155273;0.04128571527987779;0.199437;0.183767;3.4578097056980454E-05;0.024373328313231468;0;8365;28.6263851;
