E:\Workspaces\NormalUncertainty2026\.Revision\Data\maxplanck.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
159993;4.04617316381698E-05;3.52379989624023;0.8936392823757143;0.684702;0.705464;6.26139666355326E-06;0.004225313663482666;0;0;36.3593316;
170401;3.57615238435557E-05;3.12819671630859;0.8161061139553215;0.657956;0.671272;5.397348404771656E-06;0.004158598370850086;0;15131;110.7013071;
180809;2.98251425141029E-05;2.61215043067932;0.7123043225312461;0.614485;0.623932;4.637246656044496E-06;0.004154420457780361;0;28572;155.4764467;
191209;2.56349589370627E-05;2.24873757362366;0.6254353981780792;0.576528;0.581238;4.047890706478536E-06;0.004154420457780361;0;40913;195.2611336;
201617;2.23919673769407E-05;1.9660747051239;0.5701788120976181;0.543256;0.545089;3.5829087544255216E-06;0.004154420457780361;0;52607;230.7295609;
212025;1.9843265480868E-05;1.74419677257538;0.513895889415503;0.514102;0.513211;3.20036477948403E-06;0.004050213843584061;0;63833;263.423591;
222433;1.74757880461401E-05;1.53684496879578;0.4609981052064892;0.48366;0.479215;2.861829416047685E-06;0.004050213843584061;0;74907;295.0634582;
232833;1.55371716761325E-05;1.36631059646606;0.4121134508685329;0.453384;0.44843;2.571963286110531E-06;0.004050213843584061;0;85783;324.4646973;
243241;1.39247352348189E-05;1.2238347530365;0.36756821627221403;0.42862;0.420493;2.315982908353057E-06;0.0034915532451123;0;96476;352.524407;
253649;1.24522041781147E-05;1.09518778324127;0.3320019688080119;0.400223;0.390733;2.0867685214747392E-06;0.003490930888801813;0;107146;379.3405401;
264057;1.11952567382398E-05;0.984671413898468;0.3031294973037003;0.376303;0.366436;1.8848678959164823E-06;0.003490930888801813;0;117640;405.0747764;
274457;1.01000770391036E-05;0.888470649719238;0.26908031119077036;0.351841;0.341135;1.708091790372244E-06;0.003490930888801813;0;128106;430.3770476;
284865;9.15519839994952E-06;0.805700182914734;0.24159717468996844;0.32856;0.317513;1.5453709204904279E-06;0.003483177162706852;0;138473;454.6216211;
295273;8.23499370763226E-06;0.723967671394348;0.21699097761392905;0.302827;0.290938;1.4017593209568068E-06;0.003483177162706852;0;148763;478.2038253;
305681;7.42580478676471E-06;0.652220368385315;0.1952125221414085;0.280668;0.267904;1.2766903558727487E-06;0.003483177162706852;0;159055;498.0665731;
316081;6.7513351593912E-06;0.593178689479828;0.1788398919151709;0.261009;0.248259;1.1598148180750538E-06;0.003483177162706852;0;169339;517.665584;
