E:\Workspaces\NormalUncertainty2026\.Revision\Data\neptune_100k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
708072;0.79666467438655;0.298687398433685;0.7026690713147739;0.39319;0.458065;0.14060469344742568;0.6400289535522461;13482042.165423118;0;0;
744112;0.714670243304009;0.268102407455444;0.639189494069144;0.369692;0.430777;0.11379721367517844;0.5791568160057068;11930356.177763313;0;0;
788288;0.636646350413135;0.239040777087212;0.5771333375657131;0.34508;0.396053;0.09014197167033881;0.5141385197639465;10410516.661533462;0;0;
839592;0.553636129433615;0.207400545477867;0.5081749943360911;0.318719;0.357717;0.0689496066023178;0.4518565237522125;8946427.670406722;0;0;
901888;0.47248368931012;0.177059933543205;0.4311095003483749;0.290301;0.31498;0.050456392500060884;0.38453200459480286;7545828.874446612;0;0;
978320;0.395661339854774;0.148389488458633;0.3525398935526851;0.259944;0.267867;0.03518338824617593;0.32070884108543396;6202558.383132346;0;0;
1069952;0.315081290777374;0.118331037461758;0.2695724943448312;0.226167;0.212821;0.02245550666947808;0.2561199367046356;4905270.409287907;0;0;
1189560;0.236406978921976;0.0887516513466835;0.1869400656315916;0.194497;0.153408;0.012636130304745504;0.19354084134101868;3648634.7465790096;0;0;
1369728;0.158579123315423;0.0594585314393044;0.10392647501091778;0.16248;0.0918823;0.005624939198125762;0.12862157821655273;2418956.988238169;0;0;
1701528;0.0787269955645733;0.029529782012105;0.03306383962464665;0.127807;0.0345142;0.0014036210742359267;0.06386931985616684;1205410.0499907928;0;0;
