E:\Workspaces\NormalUncertainty2026\.Revision\Data\neptune_100k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
708073;0.796664669349448;0.298687398433685;0.7026691394387226;0.393191;0.458053;0.14060469119288738;0.6400289535522461;0;0;160.5280155;
774305;0.615269753628731;0.230980306863785;0.5560028040190728;0.344414;0.387651;0.11282178620396609;0.6337623000144958;0;79438;501.7563975;
840537;0.489493906498999;0.18415479362011;0.4395967842013291;0.304143;0.32215;0.09155580413593269;0.6242794394493103;0;151459;783.1927821;
906769;0.400206559481885;0.150551065802574;0.34808418448769207;0.274817;0.268443;0.07596885331968234;0.6009886264801025;0;220637;1027.8053598;
972993;0.330041692143736;0.124576419591904;0.2756557223323042;0.252027;0.221558;0.06350542874725087;0.6009886264801025;0;288256;1244.228129;
1039225;0.276268847652981;0.104168795049191;0.2185851047798335;0.234579;0.181653;0.05320698452185557;0.6009886264801025;0;354836;1446.7504566;
1105457;0.231634493600296;0.0871714651584625;0.17150545320662314;0.221352;0.149032;0.04501205834827586;0.5300390124320984;0;420580;1637.877034;
1171689;0.197398357181002;0.0743065848946571;0.13762825017292912;0.210611;0.12273;0.03831318669245994;0.5292642712593079;0;485800;1824.0694404;
1237921;0.168537891194151;0.0634871646761894;0.1069411385147212;0.202221;0.100673;0.032501981363600545;0.5289133787155151;0;550674;1968.4755569;
1304145;0.1436073339983;0.0540279000997543;0.0856302881248664;0.194665;0.0814196;0.02740340206067046;0.5289133787155151;0;615243;2105.2418024;
1370377;0.123556781224953;0.0464812554419041;0.06710439316752115;0.186357;0.0669769;0.02316828693378242;0.5274505019187927;0;679622;2238.251822;
1436609;0.106623671077922;0.0401111021637917;0.05225694923648394;0.178984;0.0554634;0.019536516115969266;0.5274505019187927;0;743789;2367.6951583;
1502841;0.0919035640978603;0.0345807708799839;0.04024734314012257;0.172877;0.045848;0.0164358844755537;0.5274505019187927;0;807796;2494.9398461;
1569073;0.0792746972773634;0.0298639927059412;0.030457818888692922;0.166616;0.0381212;0.013675676917928665;0.5274505019187927;0;871658;2620.5114323;
1635297;0.0685605711569345;0.0258171018213034;0.02341663911595493;0.160832;0.03235;0.011310032779369318;0.5274505019187927;0;935427;2744.2069199;
1701529;0.0594940606014701;0.0223973970860243;0.018179538140318696;0.155122;0.0270236;0.009323916682106019;0.5164525508880615;0;999171;2857.5394667;
