E:\Workspaces\NormalUncertainty2026\.Revision\Data\bunny_2k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
5849;0.000713651597348718;43.687915802002;0.5482972644205493;0.694005;0.588086;0.00039195568218291013;0.03361428901553154;0;0;0.7280987;
6369;0.000608449219138655;37.3575134277344;0.48849263253564823;0.630434;0.544921;0.00032937098265591486;0.03361428901553154;0;637;1.7916152;
6889;0.000486936970944952;30.1209888458252;0.4071563179776012;0.555698;0.482733;0.00026619987635236937;0.03361428901553154;0;1309;2.9174258;
7409;0.00041908994739003;25.8685913085938;0.36046461079707903;0.520593;0.445405;0.00021575790266629627;0.0320153571665287;0;1921;3.9364526;
7937;0.000381701263191901;23.6333255767822;0.3235401284705621;0.490851;0.421548;0.00018139691610956756;0.0320153571665287;0;2512;5.1167442;
8457;0.000350434533490438;21.831823348999;0.3129957230608533;0.471494;0.413012;0.0001543643714540793;0.0320153571665287;0;3090;6.483882;
8977;0.000303985711923414;18.9955158233643;0.23999760580142437;0.441303;0.383899;0.0001273479103785182;0.0320153571665287;0;3679;7.4377702;
9497;0.000275814922897159;17.2255954742432;0.21497117240468366;0.411467;0.357133;0.00010514804490739862;0.0313117541372776;0;4235;8.3212668;
10017;0.000248624547080148;15.5132942199707;0.22334118810928638;0.39385;0.340795;9.103180623603027E-05;0.027944862842559814;0;4764;9.1594363;
10537;0.000224697292318765;14.0552463531494;0.20039627585543274;0.36328;0.319473;7.980128357153561E-05;0.027829917147755623;0;5301;10.0368235;
11057;0.000200443649262264;12.5501251220703;0.13855923604704756;0.336454;0.295764;6.95833520310998E-05;0.027829917147755623;0;5840;10.9573727;
11577;0.000174656783672821;10.9349050521851;0.12334934314044688;0.306333;0.274837;5.8676192001888684E-05;0.027829917147755623;0;6374;11.854699;
12097;0.000156750194400808;9.80711460113525;0.08385714504563158;0.289344;0.259765;5.000955246734367E-05;0.027829917147755623;0;6880;13.0461024;
12617;0.000143504522836274;8.98866844177246;0.08761004931864491;0.2709;0.24462;4.5516070296453E-05;0.027524849399924278;0;7388;14.5007837;
13137;0.000129014440338095;8.0849666595459;0.04048614617709445;0.243214;0.223635;4.032260112246987E-05;0.027524849399924278;0;7885;15.3131611;
13657;0.000116985622749234;7.32117700576782;0.058560840897524;0.228027;0.204671;3.687337194873299E-05;0.027524849399924278;0;8391;16.1449399;
