E:\Workspaces\NormalUncertainty2026\.Revision\Data\armadillo_10k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
29953;3.96771847274604E-05;2.97626352310181;0.13551703433975693;0.616859;0.625218;1.5935618419902495E-05;0.006655216217041016;0;0;2.8787952;
33145;3.89206749973763E-05;2.92225694656372;0.13529695700280353;0.591216;0.616136;1.3463668446365942E-05;0.006655216217041016;0;3675;10.1893885;
36297;3.66987611701263E-05;2.75753617286682;0.1294700089067673;0.565293;0.596724;1.0990902667210587E-05;0.006655216217041016;0;7826;19.9227512;
39089;3.35822292743566E-05;2.51710677146912;0.1198542872045052;0.520003;0.552975;9.203515964569984E-06;0.006655216217041016;0;11688;26.1620703;
41817;3.11305691601466E-05;2.3298065662384;0.10608005473625104;0.472128;0.499306;8.199155290856316E-06;0.006655216217041016;0;15130;33.2870046;
44353;2.94639949948963E-05;2.20663022994995;0.09720992523176575;0.427512;0.454664;7.48455313874901E-06;0.006655216217041016;0;18252;38.1797859;
46753;2.80411752799979E-05;2.10276556015015;0.08880643812598699;0.404933;0.416925;7.005912346738249E-06;0.006655216217041016;0;21006;42.7622323;
49145;2.66986714354736E-05;2.00032615661621;0.07425587008884849;0.375172;0.376958;6.519844005489472E-06;0.006655216217041016;0;23605;47.0874131;
51449;2.49729374243317E-05;1.86814248561859;0.05962906847970739;0.353109;0.349583;5.9968069763550845E-06;0.006655216217041016;0;26072;51.1791602;
53721;2.34571293371163E-05;1.75385367870331;0.06048187261444804;0.335628;0.328361;5.584134831667856E-06;0.006655216217041016;0;28454;55.2261432;
56001;2.21136804023347E-05;1.65532457828522;0.05112883550061431;0.313808;0.301113;5.10174394097409E-06;0.006655216217041016;0;30783;58.895555;
58257;2.07532748864109E-05;1.54983973503113;0.04542009168521011;0.293255;0.273279;4.669484793948971E-06;0.006405957508832216;0;33068;62.5166607;
60481;1.91825775108592E-05;1.43099009990692;0.04144838962657449;0.26627;0.249321;4.243260552360178E-06;0.006405957508832216;0;35334;66.1181415;
62737;1.74182215033765E-05;1.30171394348145;0.03109933167756429;0.243008;0.22615;3.8471648024226095E-06;0.006405957508832216;0;37581;69.6973433;
64961;1.63074885250468E-05;1.21899425983429;0.02623517274061804;0.235567;0.211204;3.5643414368169386E-06;0.0057236794382333755;0;39783;73.1754899;
67193;1.55656026609657E-05;1.16471040248871;0.043076881770205855;0.22503;0.202805;3.3192678349213916E-06;0.0057236794382333755;0;41946;76.7952829;
