E:\Workspaces\NormalUncertainty2026\.Revision\Data\lion.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
14729;0.00173481394367907;43.6171760559082;0.740555102283508;0.678103;0.581929;0.0006295047642900232;0.042711641639471054;0;0;2.1074979;
15681;0.00161157379432421;40.7140159606934;0.7267112112776752;0.664228;0.565797;0.000558263581723061;0.042711641639471054;0;1039;4.416436;
16633;0.0013758789489406;34.8088722229004;0.6487750571658233;0.622425;0.523879;0.0004783308626085201;0.042711641639471054;0;2172;6.6004819;
17577;0.00114962049593182;29.1443824768066;0.5441401483914632;0.583374;0.492521;0.0004043311480136792;0.03995712846517563;0;3275;8.593847;
18529;0.00101435524100135;25.6284065246582;0.48228325635554703;0.551284;0.464627;0.0003538227889039423;0.03995712846517563;0;4288;10.2989864;
19481;0.000959869214204976;24.2990913391113;0.46136613647196034;0.523095;0.445246;0.0003139467857454436;0.03635937348008156;0;5272;12.0149009;
20425;0.000880898002915564;22.2993545532227;0.4388206789724265;0.499551;0.427683;0.0002793387218293332;0.03635937348008156;0;6256;13.6903033;
21377;0.000819912308054761;20.7747859954834;0.4085744945070604;0.474098;0.410263;0.000249249212965109;0.03635937348008156;0;7207;15.2117034;
22329;0.000747452093667228;18.9537410736084;0.36696925682282266;0.451231;0.388991;0.00021820838127005845;0.03631136938929558;0;8160;16.8189542;
23273;0.000693475497091306;17.6046257019043;0.34668832765933866;0.438971;0.371831;0.0001909146304351707;0.035677120089530945;0;9102;18.3517871;
24225;0.000609853298049997;15.4923410415649;0.3111555519580904;0.412928;0.347175;0.00016636877379109103;0.035317301750183105;0;10065;19.8876156;
25177;0.000552129850543999;14.0226249694824;0.2813052593730412;0.387958;0.3315;0.0001415719085755809;0.03477010875940323;0;11006;21.8066413;
26121;0.000499488866117995;12.6661825180054;0.2632593740523175;0.368787;0.315052;0.000122891041703974;0.03440174460411072;0;11947;24.3379771;
27073;0.00046798185187253;11.8673343658447;0.23868066416097822;0.351155;0.301706;0.00011045273977120945;0.03440174460411072;0;12880;26.5807259;
28025;0.000426998544049903;10.7997245788574;0.21930210756750235;0.327529;0.284226;9.801089667067137E-05;0.03440174460411072;0;13797;28.3723283;
28969;0.000392809005441374;9.95032215118408;0.19018617524455594;0.308778;0.272388;8.987514821981064E-05;0.03440174460411072;0;14707;30.7480765;
