E:\Workspaces\NormalUncertainty2026\.Revision\Data\fandisk.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
29449;0.00239795153240352;26.3706169128418;1;0.765878;0.702078;0.0006236821634243231;0.04284016042947769;0;0;3.6935634;
31161;0.00204583916695683;22.283109664917;1;0.74942;0.687029;0.0005572343112079313;0.04284016042947769;0;3072;8.8872446;
32881;0.00156090833874126;17.0682373046875;1;0.71908;0.654042;0.00048385507843851154;0.04044342041015625;0;5877;15.1016969;
34593;0.00136798076465827;15.0204954147339;1;0.705093;0.641712;0.00043514586850107456;0.03705214709043503;0;8109;18.7283974;
36305;0.00114367095284296;12.5244750976563;1;0.67875;0.616775;0.0003981159626560579;0.03661895915865898;0;11285;23.8624597;
38017;0.000940943357485653;10.2912845611572;0.9912060999207597;0.653053;0.592406;0.00036323658031638616;0.03661895915865898;0;14117;28.6508784;
39729;0.000821508149266011;8.98782920837402;0.9041610090262862;0.636433;0.575862;0.0003330674807502268;0.03496256098151207;0;16459;32.6061515;
41441;0.000744277848434352;8.14952373504639;0.8390619680177993;0.625724;0.566776;0.0002978471601775219;0.03496256098151207;0;18750;36.3361248;
43153;0.000686926631029858;7.52987003326416;0.795732716592626;0.61713;0.560323;0.0002643247191830602;0.03496256098151207;0;21044;39.9153759;
44865;0.000617232589702371;6.77656936645508;0.7353479419629956;0.602884;0.548388;0.00023546976545909225;0.03496256098151207;0;23615;44.1425952;
46585;0.00055518354732514;6.08922290802002;0.6681507288839854;0.58624;0.533363;0.00021666003290514934;0.03463290259242058;0;25917;47.6953259;
48297;0.000498467929771617;5.45146608352661;0.605792066638231;0.568988;0.518424;0.00020067437529940288;0.03463290259242058;0;28137;51.0895364;
50009;0.000447947430145171;4.88773727416992;0.5440603371037558;0.551725;0.50431;0.000185883677186949;0.03463290259242058;0;30288;54.3838501;
51721;0.000414798146924467;4.51611518859863;0.4889597018737349;0.542678;0.496652;0.00017041088177903083;0.03459414839744568;0;32373;57.7552122;
53433;0.000381266225460679;4.15393972396851;0.44458359115825946;0.530182;0.485668;0.0001558361223505404;0.03361406549811363;0;34620;61.4230125;
55145;0.000355153428020433;3.86922597885132;0.406126165289094;0.519269;0.475872;0.0001452482985390729;0.03361406549811363;0;36861;65.1062917;
