E:\Workspaces\NormalUncertainty2026\.Revision\Data\maxplanck.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
159993;4.04617316381698E-05;3.52379989624023;0.8936392823757143;0.684702;0.705464;6.26139666355326E-06;0.004225313663482666;0;0;15.622572;
172753;3.51139543053516E-05;3.07240509986877;0.8057217948433549;0.651282;0.665834;5.365712448379711E-06;0.004225313663482666;0;15388;40.3014068;
184401;2.91418891142327E-05;2.54875349998474;0.7012284568920509;0.607207;0.618607;4.593696414066282E-06;0.004154420457780361;0;28609;61.0065855;
195697;2.59124890924298E-05;2.27003502845764;0.6364889154596455;0.579845;0.587138;4.056494861467515E-06;0.004154420457780361;0;40883;80.1717912;
206697;2.37404153605318E-05;2.08438634872437;0.5977714021603461;0.558223;0.560935;3.6480489838591523E-06;0.004154420457780361;0;52422;99.2639578;
217561;2.17300645882253E-05;1.91001868247986;0.5546019939124389;0.538037;0.537516;3.2884153073052883E-06;0.004121467005461454;0;63688;116.8409432;
228257;1.97921883539001E-05;1.74050879478455;0.5126763364383526;0.515179;0.512177;2.9693300399017148E-06;0.004121467005461454;0;74749;134.0734523;
238993;1.80204404345025E-05;1.5852689743042;0.4728083463494629;0.491239;0.486867;2.6878102802598523E-06;0.004050213843584061;0;85653;150.947309;
249809;1.63441656634661E-05;1.4376631975174;0.43460888429310074;0.469878;0.462726;2.4243902810372553E-06;0.0037972507998347282;0;96460;168.4906469;
260481;1.51677990154511E-05;1.33468925952911;0.4064422389392881;0.450424;0.44184;2.174031772123835E-06;0.003537336364388466;0;107032;184.9401752;
271161;1.4086406726769E-05;1.23940813541412;0.3819034452682081;0.435254;0.423766;1.960203007252498E-06;0.003537336364388466;0;117555;201.9535181;
281737;1.30806718679034E-05;1.15129899978638;0.3599901972335565;0.418517;0.405584;1.7887293088481471E-06;0.003537336364388466;0;127937;218.1811495;
292273;1.23138643858699E-05;1.08457136154175;0.3355687919247903;0.401766;0.389007;1.6524138765786234E-06;0.003537336364388466;0;138259;235.280544;
302793;1.15918832199389E-05;1.02067065238953;0.31800544589327284;0.389294;0.375622;1.536096397323873E-06;0.003508819965645671;0;148472;251.3525037;
313313;1.0918307846579E-05;0.961654305458069;0.29763602232699815;0.376904;0.362205;1.42913967271115E-06;0.003508819965645671;0;158690;267.4386123;
323793;1.03791260296029E-05;0.914404988288879;0.2805409401360133;0.365624;0.350228;1.340147743461646E-06;0.003511826042085886;0;168870;283.2725707;
