E:\Workspaces\NormalUncertainty2026\.Revision\Data\xyzrgb_dragon_100k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
748201;0.000325773329022792;0.261389225721359;0.4942331372746469;0.307852;0.280952;9.989349110423702E-05;0.017177578061819077;0;0;69.8969495;
818489;0.000259053382040349;0.207089588046074;0.38409816469827107;0.275431;0.231063;8.078652525006223E-05;0.017177578061819077;0;75919;219.8907492;
888193;0.000212220269414077;0.170010298490524;0.29213059568554334;0.253843;0.189513;6.436099474160177E-05;0.016897356137633324;0;148074;361.8913212;
956881;0.000184446934261478;0.147635966539383;0.2434226435751068;0.23906;0.163614;5.333861267356381E-05;0.016590509563684464;0;217551;499.9244485;
1025433;0.000162500773633945;0.129937246441841;0.20688423158568425;0.227188;0.142785;4.373465560122475E-05;0.01585892029106617;0;285933;631.7982772;
1093817;0.000139890948677098;0.111715413630009;0.1654423948872985;0.215466;0.122581;3.4880483640178184E-05;0.015661440789699554;0;353333;761.1040331;
1162001;0.0001209234460918;0.0965771153569222;0.13237346695890495;0.205076;0.102787;2.7857294756407868E-05;0.01473846472799778;0;420219;892.7103198;
1230017;0.000106055591894456;0.0846810787916183;0.1091008263413511;0.197572;0.0878902;2.2906808784667786E-05;0.014300848357379436;0;486461;1020.1419784;
1297649;9.44288048126891E-05;0.0753153339028358;0.08750585293510404;0.190819;0.0769616;1.9408570946587485E-05;0.014128011651337147;0;552083;1146.7046568;
1365321;8.51956995834229E-05;0.0680205374956131;0.0747909335075081;0.185122;0.0679899;1.682162553259699E-05;0.014054535888135433;0;617436;1270.2004116;
1430774;7.74578331823211E-05;0.0618590898811817;0.06331187780658509;0.180768;0.060671;1.4849770371229986E-05;0.014030447229743004;0;682573;1391.3883936;
1495867;7.10276416355908E-05;0.0567976832389832;0.05501690860341624;0.177193;0.0546153;1.332827623046977E-05;0.014006632380187511;0;747666;1512.5414988;
1560774;6.58371730128512E-05;0.0527630373835564;0.04756121809420133;0.174434;0.0503048;1.2197547116638363E-05;0.01402954664081335;0;812573;1635.0778753;
1626480;6.17297906546369E-05;0.0494605712592602;0.04082508285236952;0.171838;0.047165;1.1321489208493028E-05;0.01402954664081335;0;878279;1763.2883461;
1694040;5.8406602366885E-05;0.0468256510794163;0.0387655248543568;0.170192;0.0451944;1.0561022386861383E-05;0.01402954664081335;0;945839;1893.4473085;
1761600;5.52983701488442E-05;0.0443311594426632;0.0366529509473037;0.168918;0.0430236;9.926358261157597E-06;0.01402954664081335;0;1013399;2029.3223291;
