E:\Workspaces\NormalUncertainty2026\.Revision\Data\neptune_100k.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
708073;0.796664669349448;0.298687398433685;0.7026691394387226;0.393191;0.458053;0.14060469119288738;0.6400289535522461;0;0;77.6055217;
778825;0.602659706152637;0.226363509893417;0.5388445754264599;0.342034;0.383966;0.11252111710993361;0.6400289535522461;0;79317;253.9596318;
847249;0.49239900121414;0.184431791305542;0.4405016856840911;0.307441;0.330176;0.09207933917189848;0.6242794394493103;0;151037;420.3099925;
914793;0.424461735398773;0.159375444054604;0.3808278963267049;0.285792;0.293151;0.0779613688132486;0.6242794394493103;0;219991;613.4692785;
982345;0.368076003366565;0.138420194387436;0.31782043318225717;0.264754;0.256459;0.06537723643589684;0.5939037203788757;0;287779;804.5448464;
1049337;0.317141737619772;0.119164109230042;0.26721385490541816;0.246679;0.221876;0.05418878851505607;0.5615413188934326;0;354566;1000.0533949;
1116337;0.278229191243838;0.104480803012848;0.22844842157217227;0.233035;0.194514;0.04536466171204912;0.5408474802970886;0;420484;1189.0988583;
1182905;0.250113190126328;0.0940792560577393;0.1994278212913123;0.222498;0.172621;0.03931986283344193;0.5292653441429138;0;485487;1339.7877523;
1249497;0.226356232669392;0.0853229761123657;0.17582425537811708;0.213917;0.155269;0.03466256863227224;0.5291181206703186;0;550157;1499.4487755;
1316041;0.206206180101253;0.0778772830963135;0.1557109331465465;0.20828;0.140346;0.03104750395093997;0.528982937335968;0;614426;1661.702886;
1382369;0.190599212551109;0.0720888152718544;0.14247600490762302;0.203218;0.128366;0.028305820036934517;0.528982937335968;0;678374;1818.910636;
1448681;0.177360539053351;0.0671092793345451;0.12939147655819294;0.198011;0.118851;0.026186881176609347;0.528982937335968;0;742175;1958.7926205;
1514005;0.166685879144245;0.0631386190652847;0.12027624384963387;0.19466;0.110976;0.02440151026410795;0.5288312435150146;0;805932;2120.6563039;
1577582;0.157317876433993;0.0596096441149712;0.11036673364733773;0.191658;0.104308;0.022921036697859113;0.5288312435150146;0;869509;2265.2275883;
1641055;0.149631393818817;0.0567182786762714;0.10417191602255826;0.188802;0.0985728;0.021639246887554853;0.5288312435150146;0;932982;2447.163018;
1704541;0.143209664414533;0.0543047487735748;0.09779709070561604;0.186206;0.0943536;0.020562979506668144;0.5288312435150146;0;996468;2629.9763476;
