C:\Data\Common\Simplified\bunny2_2000.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
5848;0.000713651597348718;43.687915802002;0.5482972644205493;0.694005;0.588086;0.00039195568218291013;0.03361428901553154;0;0;7.3E-06;
6385;0.000649359955978726;39.8377380371094;0.5003971581928885;0.657916;0.571165;0.0003473809353804999;0.03361428901553154;0;536;1.4943896;
7041;0.000557270207697693;34.287769317627;0.4638741749235047;0.60515;0.520741;0.00027269869816215774;0.03361428901553154;0;1283;1.9259653;
7585;0.000480276495449964;29.8032035827637;0.3856318285832514;0.553616;0.479998;0.00021127999982503682;0.03361428901553154;0;1929;1.3508015;
8137;0.000402352846277293;24.9826126098633;0.32714686556482375;0.509874;0.446646;0.000171534094383633;0.0320153571665287;0;2544;1.3231635;
8665;0.000352311042923459;21.9400749206543;0.27714334918094874;0.462722;0.407405;0.00013938659369156092;0.0320153571665287;0;3147;1.2954934;
9209;0.000303657100274264;18.976655960083;0.2403551430755444;0.426315;0.375436;0.00011768299415434431;0.0320153571665287;0;3709;1.2001237;
9737;0.000266410524650716;16.6389636993408;0.2200346307243768;0.396578;0.353984;9.898102204332956E-05;0.0320153571665287;0;4248;1.1991416;
10265;0.000232308017042331;14.4763622283936;0.1564321608835484;0.364735;0.330309;8.584127383623845E-05;0.0313117541372776;0;4793;1.2784331;
10809;0.000198974602011919;12.4314308166504;0.120718320410659;0.335602;0.305475;7.438815889965277E-05;0.0313117541372776;0;5343;1.2575489;
11313;0.00017731532896247;11.0760679244995;0.05243064158740918;0.321057;0.286451;6.558420761352151E-05;0.027468670159578323;0;5852;1.1425974;
11841;0.000150365995758165;9.38390064239502;0.06741045294120696;0.286384;0.260206;5.726019393035391E-05;0.027468670159578323;0;6380;1.2288119;
12361;0.000129951393651488;8.09767818450928;0.03349002524531386;0.250521;0.235415;4.8847132580296054E-05;0.026349585503339767;0;6885;1.1845341;
12881;0.000115827569562025;7.24396371841431;0.06664790364961215;0.236488;0.22013;4.2782453161583465E-05;0.026349585503339767;0;7390;1.2125774;
13377;0.000102073733108355;6.39219093322754;0.04901635747517741;0.212697;0.199677;3.626945582491015E-05;0.02513064630329609;0;7894;1.2065487;
13921;9.19172258196672E-05;5.76195383071899;0.048914142096337265;0.194982;0.179412;3.088867562611254E-05;0.024373328313231468;0;8411;1.3197806;
