C:\Data\Common\fandisk.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
29448;0.00239795153240352;26.3706169128418;1;0.765878;0.702078;0.0006236821634243231;0.04284016042947769;0;0;8E-07;
31161;0.00213825160452959;23.4572639465332;1;0.750274;0.687522;0.0005608209189898682;0.04284016042947769;0;3149;16.8973867;
32881;0.00157266355835769;17.1926689147949;1;0.718771;0.653844;0.0004803613336885486;0.04044342041015625;0;6083;14.0995612;
34593;0.0013989275224733;15.3005285263062;1;0.703328;0.64077;0.00044125320419931074;0.04044342041015625;0;8458;11.0949923;
36305;0.00110098155385877;12.0128345489502;1;0.668853;0.606995;0.00040437297889688175;0.03705214709043503;0;11521;13.2555263;
38017;0.000878849783885176;9.61174201965332;0.9627303453634577;0.644614;0.583893;0.0003728768764344346;0.03661895915865898;0;14041;11.0157734;
39729;0.000775778119059937;8.49658203125;0.8851054341593401;0.632111;0.573604;0.0003498380814239049;0.03548016771674156;0;16210;9.4164297;
41441;0.000671142272832255;7.32388067245483;0.7822080250955832;0.611044;0.553706;0.00033240749475938884;0.03548016771674156;0;18588;9.6105679;
43153;0.000567428487622547;6.17321300506592;0.6720274923955578;0.583753;0.529233;0.0003143090411326054;0.03463290259242058;0;21188;10.2472654;
44865;0.000485716439745282;5.28809022903442;0.5912951499155203;0.563917;0.509614;0.0002930217099273317;0.03463290259242058;0;23559;9.8866293;
46585;0.000428572754035717;4.67167568206787;0.5196562369218416;0.547738;0.495901;0.00027483731769308955;0.03463290259242058;0;25697;8.8235009;
48297;0.000380715405281004;4.14221811294556;0.46376550146651757;0.531528;0.481937;0.0002620410460188239;0.03463290259242058;0;27796;8.8481131;
50009;0.000333532779693759;3.6177921295166;0.41509897000297774;0.509277;0.462966;0.00025124397843734173;0.03457297757267952;0;30177;9.5849189;
51721;0.000293284736604258;3.18549036979675;0.37393093756988854;0.488337;0.44468;0.00023975337522520778;0.03457297757267952;0;32500;9.6194237;
53433;0.000262474672646885;2.85150623321533;0.3360567990480608;0.469742;0.4283;0.00023039700143679618;0.03457297757267952;0;34585;8.8171829;
55145;0.000239025840365148;2.59600925445557;0.2978666870303413;0.456517;0.416092;0.0002225121348429313;0.03457297757267952;0;36532;9.0542477;
