C:\Data\Common\Simplified\armadillo2_10000.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
29952;3.96771847274604E-05;2.97626352310181;0.13551703433975693;0.616859;0.625218;1.5935618419902495E-05;0.006655216217041016;0;0;1.5E-06;
32169;3.80821262370201E-05;2.85935139656067;0.13125177995127935;0.595553;0.609042;1.3458084759127125E-05;0.006655216217041016;0;3734;7.1388444;
34377;3.72609558839203E-05;2.79413795471191;0.12953414110994954;0.578332;0.603662;1.1740679235784115E-05;0.006655216217041016;0;7360;7.2841548;
36585;3.55593919454144E-05;2.66561961174011;0.12554125022642637;0.557552;0.585905;9.88835319126946E-06;0.006655216217041016;0;10974;7.7080344;
38801;3.34071355268912E-05;2.50627660751343;0.11912568829158499;0.523368;0.549836;8.545685579185043E-06;0.006655216217041016;0;14441;7.7251905;
41009;3.17466608433147E-05;2.38412594795227;0.11247160953090152;0.483922;0.511561;7.787091626738054E-06;0.006655216217041016;0;17540;7.2286987;
43217;2.97677808140584E-05;2.23146390914917;0.101719344240089;0.442913;0.464551;7.115744444318981E-06;0.006655216217041016;0;20510;7.1781326;
45433;2.85609564910961E-05;2.13941240310669;0.09392457743988869;0.405489;0.417609;6.674121367941305E-06;0.006655216217041016;0;23202;6.8499311;
47641;2.72731586842248E-05;2.04120111465454;0.09203591652051557;0.38689;0.393092;6.222633942824126E-06;0.006655216217041016;0;25655;6.7799719;
49849;2.60902307879423E-05;1.95281863212585;0.07418926864405195;0.360259;0.360279;5.785379991950683E-06;0.006655216217041016;0;28076;7.1646127;
52065;2.4569604421914E-05;1.83657276630402;0.06000706145174117;0.335511;0.334959;5.3124664233791695E-06;0.006655216217041016;0;30365;6.5458098;
54273;2.27855579342886E-05;1.70141267776489;0.060259830601923525;0.311998;0.303976;4.901123400943625E-06;0.006370690185576677;0;32672;9.0729357;
56481;2.1462786378137E-05;1.60137152671814;0.04986796805403104;0.29502;0.286049;4.5271332680362E-06;0.006370690185576677;0;34939;9.2295379;
58697;2.01804563692134E-05;1.50653231143951;0.0434540657693292;0.286613;0.271178;4.154832307909945E-06;0.006141013465821743;0;37190;9.6616601;
60905;1.85569477712247E-05;1.38301038742065;0.051985580895966166;0.269531;0.253599;3.809927134382355E-06;0.006141013465821743;0;39378;9.4606209;
63113;1.71218443600506E-05;1.27494382858276;0.04347980829781495;0.257722;0.23895;3.462785818899924E-06;0.006010734010487795;0;41563;10.2064402;
