C:\Data\Common\lion.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
14728;0.00173481394367907;43.6171760559082;0.740555102283508;0.678103;0.581929;0.0006295047642900232;0.042711641639471054;0;0;9.7E-06;
15707;0.00164648418157341;41.5560684204102;0.7192154762242016;0.666257;0.570655;0.0005591974748176839;0.042711641639471054;0;978;2.4848097;
16689;0.00150917117175819;38.1085815429688;0.6691376294234095;0.650244;0.550908;0.0004986234119952186;0.0420951284468174;0;2021;2.2589345;
17673;0.00142553804541894;36.0719871520996;0.6502508515326908;0.626317;0.53313;0.0004482762005830155;0.0420951284468174;0;3048;2.3998501;
18681;0.00132792862027126;33.6863746643066;0.6299135533045184;0.606484;0.515213;0.00039814391819172204;0.0420951284468174;0;4092;2.65909;
19665;0.00120275055119689;30.4900417327881;0.5697823891587221;0.573675;0.486612;0.0003455447531562764;0.038628846406936646;0;5100;2.6186925;
20633;0.00105410099916283;26.7245712280273;0.4922408037972241;0.537752;0.456789;0.00029882084295110485;0.038628846406936646;0;6105;2.5819415;
21553;0.000952332163168248;24.1626358032227;0.4498997340085247;0.509978;0.437823;0.00026040368581839804;0.038628846406936646;0;7062;2.5960159;
22513;0.00085334337351811;21.6201496124268;0.422103283319917;0.484061;0.418101;0.00022357250892737505;0.038628846406936646;0;8025;2.8811152;
23489;0.000785933930291482;19.9314270019531;0.37721291930276246;0.463045;0.399458;0.00019365732118427093;0.035677120089530945;0;8995;2.6719484;
24433;0.000718174529074206;18.2087173461914;0.3344522138961654;0.444164;0.380876;0.00016915443359314167;0.035677120089530945;0;9932;2.6393212;
25393;0.00065192026398542;16.5377578735352;0.3364743285071503;0.425431;0.363165;0.00014926398504670809;0.035317301750183105;0;10888;2.7849905;
26345;0.000596635974332537;15.146276473999;0.30539935025374665;0.397014;0.345464;0.00013335835409298172;0.035317301750183105;0;11823;2.6619619;
27289;0.000543501595633063;13.795072555542;0.26673257457674304;0.375485;0.329277;0.00011821833391132486;0.035317301750183105;0;12745;2.6248603;
28249;0.000498686139059842;12.645489692688;0.2351148353820569;0.359804;0.315745;0.00010470310244776658;0.035317301750183105;0;13674;2.9971814;
29185;0.000437040363485356;11.1067790985107;0.20217887009248758;0.337872;0.296997;9.29769146600483E-05;0.035317301750183105;0;14587;3.0312922;
