C:\Data\Common\fandisk.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
29448;0.00239795153240352;26.3706169128418;1;0.765878;0.702078;0.0006236821634243231;0.04284016042947769;0;0;6E-07;
31553;0.00234899553443511;25.8275279998779;1;0.762461;0.699205;0.0005665883438155106;0.04284016042947769;0;2474;5.9963633;
33529;0.00218241972224961;23.9820899963379;1;0.754231;0.693333;0.0005004690546529778;0.04121903330087662;0;5128;6.5948109;
35505;0.00209588086209814;23.0625896453857;1;0.74764;0.686382;0.00045740920185280594;0.03797270357608795;0;7580;6.2147219;
37689;0.00195664579121594;21.5488204956055;1;0.738116;0.677485;0.0004152537025884702;0.03797270357608795;0;10213;6.7860208;
39721;0.00164372136818354;18.1173496246338;1;0.721019;0.660939;0.0003672266696606904;0.03661895915865898;0;12871;7.298641;
41609;0.00138695492113021;15.2703523635864;1;0.705366;0.643975;0.0003268395748550899;0.03661895915865898;0;15301;7.1436194;
43473;0.00124103829452401;13.6695327758789;1;0.692648;0.631585;0.0003000621099919311;0.03661895915865898;0;17594;7.2572441;
45457;0.00111711984058736;12.3080749511719;1;0.677043;0.618043;0.00027619356383708015;0.03661895915865898;0;19957;7.5706001;
47441;0.00099122603175668;10.9391603469849;1;0.660668;0.602213;0.000256540315282354;0.03661895915865898;0;22344;8.0899225;
49521;0.000870898531948264;9.61659526824951;0.9778102332249605;0.643382;0.584615;0.00023551998850936364;0.03661895915865898;0;24813;8.4757808;
51409;0.000776444875629564;8.55286026000977;0.8990007963173039;0.630248;0.573137;0.00021840922189751057;0.03463290259242058;0;27023;8.3504741;
53193;0.000705144814764852;7.74736738204956;0.8401525608384661;0.620513;0.565286;0.00020207042242822808;0.03463290259242058;0;29090;7.4396746;
55041;0.000641535075147337;7.04066562652588;0.7654598448311545;0.606445;0.552918;0.00018690159410983523;0.03463290259242058;0;31267;8.0936113;
56905;0.000578607621907268;6.34060049057007;0.7023489932256892;0.592492;0.540537;0.00017314470282345318;0.03463290259242058;0;33451;8.5381038;
58881;0.000514904584957312;5.62169551849365;0.6224084651510817;0.574737;0.524074;0.00015938375006430608;0.03463290259242058;0;35763;9.1046283;
