C:\Data\Common\maxplanck.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
159992;4.04617316381698E-05;3.52379989624023;0.8936392823757143;0.684702;0.705464;6.26139666355326E-06;0.004225313663482666;0;0;1.3E-06;
170401;3.82319441651087E-05;3.33480191230774;0.858476742837898;0.674587;0.691493;5.532858101711304E-06;0.004199161659926176;0;13009;30.4223523;
180809;3.56443950037101E-05;3.11812090873718;0.8148089004223781;0.658189;0.66911;4.932991992505114E-06;0.0041583203710615635;0;25657;31.4461796;
191209;3.21083158488652E-05;2.8157742023468;0.7559538730758123;0.635978;0.64242;4.338229501179506E-06;0.0041583203710615635;0;38000;42.3544347;
201617;2.89312409455157E-05;2.54140686988831;0.6988866556523904;0.611123;0.614422;3.839274554782604E-06;0.0041583203710615635;0;49757;50.120389;
212025;2.62215847774393E-05;2.30404543876648;0.6431080433528337;0.587495;0.587826;3.4023674974479237E-06;0.0041583203710615635;0;61244;58.7382902;
222433;2.39151370337965E-05;2.10255122184753;0.5965954507861605;0.565321;0.56443;3.0459977178164324E-06;0.0041583203710615635;0;72354;62.8035099;
232833;2.19954435200813E-05;1.93494379520416;0.5578513411234935;0.54714;0.543764;2.757170161103285E-06;0.004121467005461454;0;83218;67.6231577;
243241;2.02323575081433E-05;1.78148353099823;0.5247842902963715;0.529205;0.524163;2.4859332318077913E-06;0.004036880098283291;0;93991;74.4542755;
253649;1.86573097169046E-05;1.64291715621948;0.49320551329374207;0.514222;0.507292;2.2559649731492082E-06;0.004009628668427467;0;104704;83.2645052;
264057;1.7311367188428E-05;1.52448892593384;0.4618345757808334;0.498844;0.49067;2.041815352991615E-06;0.004009628668427467;0;115269;72.7817973;
274457;1.60654939909395E-05;1.4145519733429;0.4347422730397922;0.483459;0.474075;1.8494034087028793E-06;0.004009628668427467;0;125780;74.8500196;
284865;1.48927042070461E-05;1.31113576889038;0.4089075170298576;0.465999;0.455198;1.6618661214058234E-06;0.004009628668427467;0;136263;79.3887145;
295273;1.38854709183807E-05;1.22230923175812;0.38568270526256665;0.452551;0.440343;1.4925886657480798E-06;0.004009628668427467;0;146544;84.558666;
305681;1.28958235159262E-05;1.13491749763489;0.35887082879568666;0.438177;0.42527;1.3376070725394263E-06;0.004009628668427467;0;156883;90.516284;
316081;1.19161946697665E-05;1.04807615280151;0.3312294517378439;0.421903;0.408457;1.1956142993970619E-06;0.004009628668427467;0;167162;94.4062058;
